	(1)	(2)	(3)
	e1	e2	e3
VARIABLES	SUCCESS	SUCCESS	SUCCESS
			
INTEREST	-0.00187***	-0.00426***	-0.00813***
	(0.000131)	(0.000261)	(0.000569)
MONTHS	-0.000296***	-0.00104***	-0.00201***
	(7.88e-05)	(0.000140)	(0.000272)
HOUSE	0.00243	0.00664***	-0.0176***
	(0.00160)	(0.00238)	(0.00507)
CAR	0.0149***	0.0257***	0.0282***
	(0.00230)	(0.00289)	(0.00546)
Year	0.00240***	-0.0156***	-0.0377***
	(0.000757)	(0.00130)	(0.00300)
LNAMOUNT	-0.0108***	-0.0178***	-0.0102***
	(0.000560)	(0.000938)	(0.00185)
INCOME	0.0265***	0.0393***	0.0764***
	(0.00241)	(0.00286)	(0.00528)
CREDIT	0.398***	0.521***	0.506***
	(0.0121)	(0.00721)	(0.0112)
WORKTIME	0.0133***	0.0194***	0.0512***
	(0.00178)	(0.00220)	(0.00434)
MARRY	0.00762***	0.0127***	0.00457
	(0.00162)	(0.00222)	(0.00518)
EDUCATION	0.00947***	0.0104***	0.00308
	(0.00197)	(0.00268)	(0.00626)
A1	0.00283	-0.00174	0.000757
	(0.00614)	(0.00952)	(0.0169)
A2	0.0108	0.0315***	0.0302
	(0.00722)	(0.0107)	(0.0200)
A4	-0.00146	0.0186**	0.0156
	(0.00605)	(0.00924)	(0.0168)
A5	-0.000189	0.0420***	0.0697***
	(0.00620)	(0.0112)	(0.0226)
A6	0.00456	0.00478	0.00481
	(0.00567)	(0.00856)	(0.0148)
A7	0.000279	-0.0308**	0.0569**
	(0.00720)	(0.0137)	(0.0255)
A8	0.000748	0.00940	0.0100
	(0.00923)	(0.0144)	(0.0292)
A9	0.00678	0.0428***	0.0138
	(0.00622)	(0.00983)	(0.0159)
A10	0.00246	0.0201**	0.0337**
	(0.00549)	(0.00821)	(0.0137)
A11	-0.000647	-0.00806	0.0147
	(0.00608)	(0.00883)	(0.0171)
A12	0.00370	0.0122	0.0166
	(0.00527)	(0.00781)	(0.0141)
A13	0.00678	0.00391	0.0467***
	(0.00619)	(0.00917)	(0.0168)
A14	0.00367	-0.000542	-0.0168
	(0.00780)	(0.0120)	(0.0240)
A15	0.00834	0.0530***	0.0643***
	(0.00570)	(0.00859)	(0.0151)
A16	-0.00853	0.00829	0.0119
	(0.00593)	(0.00943)	(0.0173)
A17	-0.00130	0.00513	0.0324**
	(0.00577)	(0.00858)	(0.0161)
A18	0.00464	0.0363***	0.0456***
	(0.00596)	(0.00962)	(0.0154)
A19	0.00417	0.0386***	0.0508***
	(0.00557)	(0.00847)	(0.0147)
A20	-0.000144	0.0107	0.0353
	(0.00781)	(0.0154)	(0.0316)
A21	0.00318	0.000213	0.0489***
	(0.00595)	(0.00862)	(0.0161)
A22	0.00212	0.00500	0.00175
	(0.00593)	(0.00899)	(0.0157)
A23	0.00276	0.0396***	-0.0301
	(0.00900)	(0.0132)	(0.0306)
A24	-0.000180	0.00385	0.0567***
	(0.00543)	(0.00839)	(0.0157)
A25	-0.000480	-0.00380	0.0391
	(0.0108)	(0.0127)	(0.0264)
A26	0.00549	0.0142	0.0923***
	(0.00675)	(0.00978)	(0.0202)
A27	0.00119	0.00936	0.0106
	(0.00620)	(0.00879)	(0.0154)
A28	-0.00438	-0.00229	-0.0116
	(0.00621)	(0.00969)	(0.0238)
A29	0.00443	0.0274***	0.0440*
	(0.00650)	(0.0104)	(0.0241)
A30	0.00472	0.00512	0.0689
	(0.0121)	(0.0238)	(0.0602)
A31	-0.00434	-0.00334	0.0701***
	(0.00635)	(0.00893)	(0.0195)
Constant	-4.696***	31.61***	76.16***
	(1.520)	(2.621)	(6.029)
			
Observations	61,815	51,440	15,277
R-squared	0.185	0.351	0.390
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
