	(1)	(2)	(3)
	m1	m2	m3
VARIABLES	SUCCESS	SUCCESS	SUCCESS
			
College	0.000869***		
	(0.000168)		
INTEREST	-0.00356***	-0.00356***	-0.00354***
	(0.000136)	(0.000136)	(0.000136)
MONTHS	-0.000821***	-0.000813***	-0.000817***
	(7.49e-05)	(7.48e-05)	(7.48e-05)
HOUSE	0.000931	0.000911	0.000943
	(0.00142)	(0.00142)	(0.00142)
CAR	0.0253***	0.0253***	0.0254***
	(0.00185)	(0.00185)	(0.00185)
Year	-0.0135***	-0.00571***	0.00633***
	(0.00109)	(0.00109)	(0.00198)
AGE	0.00204***	0.00204***	0.00203***
	(0.000114)	(0.000114)	(0.000114)
LNAMOUNT	-0.0139***	-0.0141***	-0.0139***
	(0.000544)	(0.000545)	(0.000544)
INCOME	0.0386***	0.0388***	0.0388***
	(0.00181)	(0.00182)	(0.00181)
CREDIT	0.504***	0.504***	0.503***
	(0.00539)	(0.00539)	(0.00539)
WORKTIME	0.0211***	0.0212***	0.0212***
	(0.00139)	(0.00139)	(0.00139)
MARRY	0.0103***	0.0104***	0.0103***
	(0.00134)	(0.00135)	(0.00135)
EDUCATION	0.00930***	0.00934***	0.00937***
	(0.00167)	(0.00167)	(0.00167)
A1	-0.00861	-0.0109*	0.101***
	(0.00587)	(0.00640)	(0.0131)
A2	0.00823	0.0320***	-0.136***
	(0.00670)	(0.00632)	(0.0210)
A4	-0.00949	0.000450	0.112***
	(0.00651)	(0.00591)	(0.0138)
A5	0.00957	0.0303***	-0.0470***
	(0.00754)	(0.00646)	(0.0116)
A6	-0.0848***	0.141***	-0.124***
	(0.0186)	(0.0295)	(0.0170)
A7	-0.0125*	-0.0321***	0.114***
	(0.00753)	(0.00976)	(0.0165)
A8	0.0411***	-0.0476***	-0.0992***
	(0.0105)	(0.0147)	(0.0156)
A9	-0.0481***	0.0661***	-0.111***
	(0.0149)	(0.0107)	(0.0178)
A10	-0.129***	0.160***	-0.0245***
	(0.0287)	(0.0318)	(0.00691)
A11	-0.0295***	0.0229***	-0.124***
	(0.00765)	(0.00729)	(0.0161)
A12	-0.125***	0.186***	-0.0190***
	(0.0273)	(0.0382)	(0.00598)
A13	-0.0157**	0.0277***	-0.127***
	(0.00752)	(0.00622)	(0.0180)
A14	0.0158**	-0.0182**	-0.112***
	(0.00738)	(0.00818)	(0.0157)
A15	-0.108***	0.152***	0.0629***
	(0.0282)	(0.0261)	(0.00617)
A16	-0.0501***	0.0292***	-0.131***
	(0.0115)	(0.00784)	(0.0175)
A17	-0.0796***	0.0941***	-0.101***
	(0.0175)	(0.0198)	(0.0144)
A18	-0.110***	0.137***	-0.0999***
	(0.0267)	(0.0251)	(0.0165)
A19	-0.0333***	0.133***	0.0309***
	(0.0127)	(0.0238)	(0.00485)
A20	0.0355***	-0.0412***	-0.109***
	(0.00899)	(0.0137)	(0.0167)
A21	-0.101***	0.0473***	-0.0843***
	(0.0219)	(0.00970)	(0.0126)
A22	-0.0718***	0.0747***	-0.109***
	(0.0159)	(0.0157)	(0.0152)
A23	0.0161**	0.0167**	-0.142***
	(0.00791)	(0.00793)	(0.0219)
A24	-0.0239***	0.0273***	-0.0252***
	(0.00829)	(0.00585)	(0.00647)
A25	0.0492***	-0.0554***	-0.148***
	(0.0118)	(0.0165)	(0.0212)
A26	0.0251***	0.0228***	-0.142***
	(0.00584)	(0.00587)	(0.0216)
A27	-0.0547***	0.0671***	-0.0182***
	(0.0128)	(0.0142)	(0.00588)
A28	0.0282***	0.00866	-0.0918***
	(0.00770)	(0.00571)	(0.0126)
A29	-0.0495***	0.0503***	-0.0721***
	(0.0151)	(0.00847)	(0.0130)
A30	0.0530***	-0.0423**	-0.102***
	(0.0149)	(0.0180)	(0.0194)
A31	-0.0308***	0.0303***	-0.108***
	(0.00870)	(0.00784)	(0.0150)
Finance		-1.54e-05***	
		(3.37e-06)	
PerGDP			-3.80e-06***
			(4.69e-07)
Constant	27.24***	11.69***	-12.36***
	(2.182)	(2.189)	(3.954)
			
Observations	128,532	128,532	128,532
R-squared	0.334	0.334	0.334
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
